Product Name,Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND),detail_specs_html_path,gpu_model,gpu_class,is_contact_price,norm_ram,norm_storage,norm_cpu,norm_weight,norm_screen,norm_price,price_million,base_performance_score,base_portability_score,has_price,ready_for_budget_filter,ready_for_performance_advice,is_light,is_heavy,is_small_screen,is_large_screen,Battery (Wh),norm_battery,gpu_score,battery_score,battery_available,gaming_score,ai_graphics_score,office_score,portability_score,general_score,is_gaming_ready,is_ai_ready,is_business_ready,is_ultrabook,cpu_gen
HP 15 Fd0306tu A2nl7pa,hp,Intel,Core I3,1315.0,1.2,8.0,DDR4,3200.0,256.0,15.6,1920 x 1080,60.0,Intel,1.59,"3-cell, 41 Wh Li-ion",12490000.0,data/cellphones/detail_htmls\hp_13_specs.html,INTEL_UHD,INTEGRATED,False,0.6,0.6,0.0128410914927768,0.622792937399679,0.5842696629213483,0.0451388888888888,12.49,0.306,0.623,True,True,True,True,False,False,True,41.0,0.05798394290811775,0.45,0.05798394290811775,1,0.4365,0.4293,0.36727431667151117,0.3836972692634271,0.3491128963548655,False,False,False,False,13.0
HP Envy X360 14 Fa0045au A19bmpa,hp,AMD,Ryzen7,8840.0,5.1,32.0,LPDDR5,6400.0,1024.0,14.0,2880 x 1800,60.0,AMD,1.39,"3-cell, 59 Wh Li-ion polymer",35090000.0,data/cellphones/detail_htmls\hp_10_specs.html,AMD_RADEON_GRAPHICS,INTEGRATED,False,1.0,1.0,0.8743980738362761,0.819422150882825,0.2114767255216693,0.2020833333333333,35.09,0.937,0.819,True,True,True,True,False,True,False,59.0,0.5370205173951829,0.5,0.5370205173951829,1,0.68425,0.7061000000000001,0.8158518562880254,0.7144018038812514,0.8379636961058617,True,True,True,False,8.0
HP 14 Ep0220tu B73vwpa,hp,Intel,Core I3,1315.0,4.5,8.0,DDR4,3200.0,512.0,14.0,1920 x 1080,,Intel,1.4,"3-cell, 41 Wh Li-ion polymer Bộ đổi nguồn AC thông minh 45 W",13490000.0,data/cellphones/detail_htmls\hp_11_specs.html,INTEL_UHD,INTEGRATED,False,0.6,0.8,0.3029695024077046,0.7885232744783306,0.2114767255216693,0.0520833333333333,13.49,0.491,0.789,True,True,True,True,False,True,False,41.0,0.05798394290811775,0.45,0.05798394290811775,1,0.48275,0.4848,0.5085299346490393,0.5328345084287562,0.5072553722778189,False,False,False,False,13.0
HP Pavilion 15 Eg3112tu 8u6l9pa,hp,Intel,Core I7,1355.0,5.0,16.0,DDR4,3200.0,512.0,15.6,1920 x 1080,,Intel,1.69,3-cell,25290000.0,data/cellphones/detail_htmls\hp_12_specs.html,INTEL_IRIS_XE,INTEGRATED,False,0.8,0.8,0.8138041733547352,0.4735152487961477,0.5842696629213483,0.1340277777777777,25.29,0.807,0.474,True,True,True,False,False,False,True,,,0.55,,0,0.65175,0.6646000000000001,0.6288803370786517,0.47122792937399677,0.6596917375601926,True,True,True,False,13.0
HP 14 Dq2055wm 39k15ua,hp,Intel,Core I3,1115.0,4.6,4.0,DDR4,2666.0,256.0,14.0,1920 x 1080,,Intel,1.46,"3-cell, 41 Wh Li-ion",13990000.0,data/cellphones/detail_htmls\hp_14_specs.html,INTEL_UHD,INTEGRATED,False,0.4,0.6,0.4534510433386838,0.7323434991974318,0.2114767255216693,0.0555555555555555,13.99,0.467,0.732,True,True,True,True,False,True,False,41.0,0.05798394290811775,0.45,0.05798394290811775,1,0.44675,0.4476,0.47806701330072465,0.5075536095523516,0.48009087789579646,False,False,False,False,11.0
HP 15 Fd0237tu,hp,Intel,Core I5,1334.0,4.6,16.0,DDR4,3200.0,512.0,15.6,1920 x 1080,,Intel,1.59,"3-cell, 41 Wh Li-ion polymer",18390000.0,data/cellphones/detail_htmls\hp_16_specs.html,INTEL_IRIS_XE,INTEGRATED,False,0.8,0.8,0.4534510433386838,0.622792937399679,0.5842696629213483,0.0861111111111111,18.39,0.627,0.623,True,True,True,True,False,False,True,41.0,0.05798394290811775,0.55,0.05798394290811775,1,0.60675,0.6106,0.5117243166715111,0.3836972692634271,0.5264653963548654,True,True,False,False,13.0
HP 250 G9 Ag2k7at,hp,Intel,Core I5,1235.0,4.4,16.0,DDR4,3200.0,512.0,15.6,1920 x 1080,,Intel,1.696,3 Cell Int (41.04Wh),19190000.0,data/cellphones/detail_htmls\hp_18_specs.html,INTEL_UHD,INTEGRATED,False,0.8,0.8,0.2451845906902086,0.4703049759229535,0.5842696629213483,0.0916666666666666,19.19,0.523,0.47,True,True,True,False,False,False,True,41.04,0.09232827832292596,0.45,0.09232827832292596,1,0.52075,0.5244,0.4184223972376189,0.3270982039940835,0.4367597195557452,False,False,False,False,12.0
HP Envy X360 2in1 14 Fc0086tu A19bwpa,hp,Intel,Core Ultra 7,155.0,80.0,32.0,LPDDR5,6400.0,512.0,14.0,2880 x 1800,120.0,Intel,1.384,3 Cell Int (59.16Wh),35290000.0,data/cellphones/detail_htmls\hp_19_specs.html,INTEL_GRAPHICS,INTEGRATED,False,1.0,0.8,1.0,0.8306581059390048,0.2114767255216693,0.2034722222222222,35.29,0.96,0.831,True,True,True,True,False,True,False,59.16,0.544157002676182,0.45,0.544157002676182,1,0.66,0.6855,0.8315617376138881,0.721955753504882,0.8545939326272259,True,True,True,False,1.0
HP Victus 16 S0143ax 9q990pa,hp,AMD,Ryzen5,7640.0,5.0,32.0,DDR5,5600.0,512.0,16.1,1920 x 1080,144.0,NVIDIA,2.33,"4-cell, 70 Wh Li-ion polymer",31490000.0,data/cellphones/detail_htmls\hp_15_specs.html,RTX 4050,DISCRETE_GAMING,False,1.0,0.8,0.8138041733547352,0.1091492776886035,0.9743178170144462,0.1770833333333333,31.49,0.867,0.109,True,True,True,False,True,False,True,70.0,0.6882247992863515,1.0,0.6882247992863515,1,0.96675,0.9601,0.5659972070482815,0.29513229130720536,0.6171752014331677,True,True,False,False,7.0
HP Envy X360 14 Fa0096au Ay8u6pa,hp,AMD,Ryzen5,8640.0,9.0,16.0,LPDDR5,6400.0,1024.0,14.0,2880 x 1800,120.0,AMD,1.39,"Li-ion polymer 3 lõi, 59 Wh Bộ chuyển đổi nguồn điện 65 W USB Type-C Hỗ trợ sạc pin nhanh: khoảng 50% trong 30 phút",30390000.0,data/cellphones/detail_htmls\hp_17_specs.html,AMD_RADEON_GRAPHICS,INTEGRATED,False,0.8,1.0,0.9963884430176564,0.819422150882825,0.2114767255216693,0.1694444444444444,30.39,0.938,0.819,True,True,True,True,False,True,False,59.0,0.5370205173951829,0.5,0.5370205173951829,1,0.6545,0.6764,0.8163018562880253,0.7144018038812514,0.8385161961058617,True,True,True,False,8.0
