Product Name,Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND),url,saved_path,detail_specs_html_path
MACBOOK Air M2 2023 15 Inch,macbook,Apple,M2,8,,8,,,512,15.3,2960x1848,60,Apple,1.51,18 Giờ,32890000,https://www.fptshop.com.vn/may-tinh-xach-tay/macbook-air-m2-2023-15-inch,data/fpt/raw_htmls\macbook_11.html,data/fpt/detail_htmls\macbook_11_specs.html
MACBOOK Air 15 M2 2023 8cpu 10gpu 8gb 512gb Sac 70w,macbook,Apple,M2,8,,8,,,512,15.3,2960x1848,60,Apple,1.51,18 Giờ,37890000,https://www.fptshop.com.vn/may-tinh-xach-tay/macbook-air-15-m2-2023-8cpu-10gpu-8gb-512gb-sac-70w,data/fpt/raw_htmls\macbook_13.html,data/fpt/detail_htmls\macbook_13_specs.html
MACBOOK Pro 14 M5 2025 10cpu 10gpu 16gb 1tb,macbook,Apple,M5,10,,16,,,1024,14.2,3024x1964,120,Apple,1.55,72.4 Wh,46890000,https://www.fptshop.com.vn/may-tinh-xach-tay/macbook-pro-14-m5-2025-10cpu-10gpu-16gb-1tb,data/fpt/raw_htmls\macbook_16.html,data/fpt/detail_htmls\macbook_16_specs.html
MACBOOK Pro 14 M5 2025 10cpu 10gpu 24gb 1tb,macbook,Apple,M5,10,,24,,,1024,14.2,3024x1964,120,Apple,1.55,72.4 Wh,51790000,https://www.fptshop.com.vn/may-tinh-xach-tay/macbook-pro-14-m5-2025-10cpu-10gpu-24gb-1tb,data/fpt/raw_htmls\macbook_15.html,data/fpt/detail_htmls\macbook_15_specs.html
MACBOOK Air M3 13 2024 8cpu 8gpu 16gb 256gb,macbook,Apple,M3,8,,16,LPDDR4,,256,13.6,2560x1644,60,,1.24,,27990000,https://www.fptshop.com.vn/may-tinh-xach-tay/macbook-air-m3-13-2024-8cpu-8gpu-16gb-256gb,data/fpt/raw_htmls\macbook_17.html,data/fpt/detail_htmls\macbook_17_specs.html
MACBOOK Pro M4 Max 16 2024 16cpu 40gpu 48gb 1tb,macbook,Apple,M4 Max,16,,48,,,1024,16.2,3456x2234,120,Apple,2.14,22 Giờ,103690000,https://www.fptshop.com.vn/may-tinh-xach-tay/macbook-pro-m4-max-16-2024-16cpu-40gpu-48gb-1tb,data/fpt/raw_htmls\macbook_18.html,data/fpt/detail_htmls\macbook_18_specs.html
MACBOOK Pro 14 M5 2025 10cpu 10gpu 24gb 512gb,macbook,Apple,M5,10,,24,,,512,14.2,3024x1964,120,Apple,1.55,72.4 Wh,46890000,https://www.fptshop.com.vn/may-tinh-xach-tay/macbook-pro-14-m5-2025-10cpu-10gpu-24gb-512gb,data/fpt/raw_htmls\macbook_19.html,data/fpt/detail_htmls\macbook_19_specs.html
MACBOOK Pro 14 M5 2025 10cpu 10gpu 24gb 1tb Nano,macbook,Apple,M5,10,,24,,,1024,14.2,3024x1964,120,Apple,1.55,72.4 Wh,55390000,https://www.fptshop.com.vn/may-tinh-xach-tay/macbook-pro-14-m5-2025-10cpu-10gpu-24gb-1tb-nano,data/fpt/raw_htmls\macbook_20.html,data/fpt/detail_htmls\macbook_20_specs.html
MACBOOK Pro 14 M5 2025 10cpu 10gpu 16gb 512gb Nano,macbook,Apple,M5,10,,16,,,512,14.2,3024x1964,120,Apple,1.55,72.4 Wh,45590000,https://www.fptshop.com.vn/may-tinh-xach-tay/macbook-pro-14-m5-2025-10cpu-10gpu-16gb-512gb-nano,data/fpt/raw_htmls\macbook_21.html,data/fpt/detail_htmls\macbook_21_specs.html
MACBOOK Pro 14 M5 2025 10cpu 10gpu 16gb 1tb Nano,macbook,Apple,M5,10,,16,,,1024,14.2,3024x1964,120,Apple,1.55,72.4 Wh,50490000,https://www.fptshop.com.vn/may-tinh-xach-tay/macbook-pro-14-m5-2025-10cpu-10gpu-16gb-1tb-nano,data/fpt/raw_htmls\macbook_22.html,data/fpt/detail_htmls\macbook_22_specs.html
Colorful Rimbook L1 I3 1220p Ca30016512c S E1ad,colorful,Intel,Core I3,1220,4.4,16,DDR4,3200,512,15.6,1920x1080,60,Intel,1.78,3 Cell 50 W,11290000,https://www.fptshop.com.vn/may-tinh-xach-tay/colorful-rimbook-l1-i3-1220p-ca30016512c-s-e1ad,data/fpt/raw_htmls\colorful_1.html,data/fpt/detail_htmls\colorful_1_specs.html
Colorful Rimbook L1 I5 12450h Ce50016512c G E1ac,colorful,Intel,Core I5,12450,4.4,16,DDR4,3200,512,15.6,1920x1080,60,Intel,1.78,3 Cell 50 W,14290000,https://www.fptshop.com.vn/may-tinh-xach-tay/colorful-rimbook-l1-i5-12450h-ce50016512c-g-e1ac,data/fpt/raw_htmls\colorful_2.html,data/fpt/detail_htmls\colorful_2_specs.html
