Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND)
lenovo,Apple,,,,,,,,,,,Intel,,,40990000.0
lenovo,Apple,,,,,,,,,,,Intel,,,17990000.0
laptop,Apple,,,,,,,512.0,,,,NVIDIA,,,
laptop,Apple,,,,,,,512.0,,,,NVIDIA,,,
acer,Apple,,,,,,,,,,,Intel,,,
laptop,Apple,,,,,,,,,,,Intel,,,
acer,Apple,,,,,,,,,3840x2160,,Intel,,,
acer,Apple,,,,,,,,,3840x2160,120.0,NVIDIA,,,
acer,Apple,,,,,,,,,,,Intel,,,15990000.0
acer,Apple,,,,,,,,,,,Intel,,,12290000.0
laptop,Apple,,,,,,,,,,,Intel,,,16290000.0
acer,Apple,,,,,,,16.0,,,,Intel,,,18690000.0
laptop,Apple,,,,,,,,,,,Intel,,,18690000.0
acer,Apple,,,,,,,16.0,15.6,,,Intel,,,16490000.0
acer,Apple,,,,,,,16.0,15.6,,,Apple,,,20690000.0
acer,Apple,,,,,,,,,,,Intel,,,14290000.0
acer,Apple,,,,,,,,,2560x1440,,Intel,,,9490000.0
acer,Apple,,,,,,,16.0,15.6,,,Intel,,,16690000.0
acer,Apple,,,,,,,,,,,Intel,,,15690000.0
acer,Apple,,,,,,,,,,,Intel,,,18090000.0
laptop,Apple,,,,,,,16.0,,,,Intel,,,22290000.0
acer,Apple,,,,,,,16.0,15.6,,,Intel,,,22690000.0
acer,Apple,,,,,,,,,,,Intel,,,17390000.0
acer,Intel,i5-1334u,13.0,,,,,16.0,,,,Intel,,,13990000.0
acer,Apple,,,,,,,,,,,Intel,,,15690000.0
acer,Apple,,,,,,,,,,,Intel,,,22990000.0
acer,Apple,,,,,,,,,,,Intel,,,20790000.0
acer,Apple,,,,,,,16.0,15.6,,,Intel,,,18490000.0
acer,Apple,,,,,,,,,,,Intel,,,23990000.0
acer,Apple,,,,,,,,,,,Intel,,,26690000.0
acer,Apple,,,,,,,16.0,,,,Intel,,,15690000.0
acer,Apple,,,,,,,,,,,Intel,,,13290000.0
acer,Apple,,,,,,,,,,,Intel,,,23690000.0
